X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.301	  0.000	  0.292	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.014	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.062	 
-2.291	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.095	 
-2.282	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.129	 
-2.273	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.162	 
-2.264	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.199	 
-2.255	  0.000	  0.292	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.232	 
-2.246	  0.000	  0.292	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.267	 
-2.238	  0.000	  0.292	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.299	 
-2.229	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.340	 
-2.220	  0.000	  0.292	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  5.374	 
